Region_Level_1,Latitude,Longitude
Litoměřice,50.5340795,14.1317985
Politischer Bezirk Eferding,48.3445378499999,13.9644257970315
Louny,50.3572914,13.7969195
Politischer Bezirk Steyr-Land,47.9071065,14.5283802056626
Flandre-Occidentale,51.04047465,2.999421338788712
Sankt Pölten Stadt,48.1846361,16.12552022406568
Benešov,49.7818921,14.6869121
Politischer Bezirk Sankt Johann im Pongau,47.3475782,13.2026049
Politischer Bezirk Zwettl,48.5535109,15.068093635109
Chrudim,49.9511458,15.7947559
Praha-východ,50.0828112,14.71921794867766
Politischer Bezirk Hermagor,46.6538822,13.100220072521
Politischer Bezirk Korneuburg,48.4366463,16.2294528072345
Politischer Bezirk Salzburg-Umgebung,47.8331414999999,13.184106133344
Politischer Bezirk Gmünd,48.7859751999999,15.046710225637
Nový Jičín,49.594881,18.0102584
Politischer Bezirk Spittal an der Drau,46.89327855,13.318069431565
Politischer Bezirk Sankt Pölten,48.1386014499999,15.8176335118715
Krems an der Donau Stadt,48.40913485,15.62700129743672
Politischer Bezirk Gänserndorf,48.38003005,16.7157604310906
Politischer Bezirk Freistadt,48.4729203499999,14.6395547013626
Žďár nad Sázavou,49.5629014,15.9391924
Politischer Bezirk Ried im Innkreis,48.2116421,13.472751586033
Politischer Bezirk Rohrbach,48.57287155,13.9795741739762
Eisenstadt Stadt,47.8454821,16.5249288
Blansko,49.3621289,16.64506117626082
Politischer Bezirk Kirchdorf an der Krems,47.905194,14.1244169
Graz Stadt,47.07197505,15.44237089854184
Politischer Bezirk Hallein,47.6131804,13.2968612083389
Politischer Bezirk Wiener Neustadt,47.86594825,15.9441992946121
Politischer Bezirk Zell am See,47.3591232,12.7767695353177
Innsbruck Stadt,47.2655707,11.3934374
Hvidovre Kommune,55.63189905,12.46725859135748
Politischer Bezirk Neusiedl am See,47.90012875,16.9519930664882
Ikast-Brande Kommune,56.05259345,9.258566122354637
Politischer Bezirk Voitsberg,47.0614766,15.0623287237004
Gribskov Kommune,56.0487691,12.22123830083689
Politischer Bezirk Murtal,47.23281755,14.7130631645158
Plzeň-jih,49.55224205,13.43426138452102
